listing_id,listing_package_type,ask_price,listing_status,plus_price,premium_price,raketen_price,publication_date,scrap_date
18377379,basic,550000,for_sale,330,1820,449,3/4/22,2022
16003156,basic,550000,for_sale,330,1820,449,3/4/22,2022
18376139,plus,550000,for_sale,330,1820,224.5,3/3/22,2022
18380996,basic,550000,for_sale,310,1800,449,3/4/22,2022
18380479,basic,560000,for_sale,330,2520,449,3/4/22,2022
18381270,basic,560000,for_sale,310,1800,449,3/4/22,2022
19485535,basic,575000,for_sale,700,2100,829,1/5/23,2023
18378755,basic,575000,for_sale,330,1820,449,3/4/22,2022
19483555,plus,585000,for_sale,800,2100,559.5,1/5/23,2023
19125243,plus,590000,for_sale,700,1800,414.5,1/9/23,2023
18372416,plus,590000,for_sale,450,1940,399.5,3/3/22,2022
18379616,plus,590000,for_sale,350,1840,224.5,3/4/22,2022
19361936,basic,595000,for_sale,700,2000,1119,1/9/23,2023
19441595,plus,595000,for_sale,700,2200,559.5,1/9/23,2023
19465635,plus,595000,for_sale,700,1900,414.5,1/6/23,2023
19487076,basic,595000,for_sale,600,2000,829,1/6/23,2023
19487080,plus,595000,for_sale,600,1800,414.5,1/6/23,2023
19484038,basic,595000,for_sale,500,1600,609,1/5/23,2023
19486900,basic,595000,for_sale,500,1600,609,1/6/23,2023
18377457,basic,595000,for_sale,460,2650,799,3/6/22,2022
18376758,basic,595000,for_sale,460,2650,799,3/4/22,2022
18380437,basic,595000,for_sale,410,1900,799,3/4/22,2022
18382736,basic,595000,for_sale,350,2540,449,3/6/22,2022
18380955,basic,595000,for_sale,350,1840,449,3/4/22,2022
18379617,basic,595000,for_sale,330,1820,449,3/4/22,2022
18377075,plus,595000,for_sale,310,1800,224.5,3/4/22,2022
19490376,basic,600000,for_sale,700,2200,829,1/9/23,2023
19447775,basic,600000,for_sale,600,1900,1119,1/9/23,2023
19063916,basic,600000,for_sale,500,1900,609,1/5/23,2023
18379559,basic,600000,for_sale,350,1840,449,3/4/22,2022
18380701,basic,600000,for_sale,310,1800,449,3/4/22,2022
19457175,plus,625000,for_sale,700,1800,414.5,1/6/23,2023
19488256,basic,625000,for_sale,600,2000,1119,1/8/23,2023
